Gear,Temp,SpC,Turb,Tide,Julian Day,CPUE
Lampara,19.6,824,43.3,2,165,841.6220352
Lampara,19.6,824,43.3,2,165,306.0443764
Lampara,19.6,824,43.3,2,165,1555.209953
Lampara,20.8,1350,72,2,178,2136.317396
Lampara,20.8,1350,72,2,178,1627.670397
Lampara,21.3,1510,76.7,2,178,1954.062393
Lampara,22.8,1796,90,2,192,5052.264808
Lampara,22.8,1796,90,2,192,622.0839813
Lampara,22.8,1796,90,2,192,9175.738725
Lampara,21.7,3082,55.1,2,206,7629.704985
Lampara,21.7,3082,55.1,2,206,14463.45257
Lampara,21.7,3082,55.1,2,206,7465.007776
Lampara,20.2,4816,44.3,2,220,435.9197908
Lampara,20.2,4816,44.3,2,220,9486.780715
Lampara,20.2,4816,44.3,2,220,3205.128205
Lampara,20.3,7165,35.9,2,234,17735.04274
Lampara,20.3,7165,35.9,2,234,1104.294479
Lampara,20.3,7165,35.9,2,234,5398.773006
Townet,19.6,980,55.5,2,165,764.9480342
Townet,19.6,980,55.5,2,165,719.7821044
Townet,19.6,980,55.5,2,165,534.7453918
Townet,21.5,1620,98.8,2,178,1636.250114
Townet,21.5,1620,98.8,2,178,643.8806214
Townet,21.5,1620,98.8,2,178,652.3239674
Townet,22.5,1937,92.3,2,192,327.5807134
Townet,22.5,1937,92.3,2,192,285.6239596
Townet,22.5,1937,92.3,2,192,449.3892519
Townet,21.8,3856,68.6,2,206,1836.137962
Townet,21.8,3856,68.6,2,206,2546.122063
Townet,21.8,3856,68.6,2,206,1937.285778
Townet,20.4,5332,52.4,2,220,290.1159457
Townet,20.4,5332,52.4,2,220,451.2923672
Townet,20.4,5332,52.4,2,220,422.2692554
Townet,20.5,7440,40.4,2,234,311.8955907
Townet,20.5,7440,40.4,2,234,168.2777367
Townet,20.5,7440,40.4,2,234,190.7746362
Lampara,21,5300,51.7,2,165,877.1929825
Lampara,21,5300,51.7,2,165,62.6566416
Lampara,21,5300,51.7,2,165,1243.523316
Lampara,20.4,7396,32.4,2,177,207.253886
Lampara,20.4,7396,32.4,2,177,1658.031088
Lampara,21.1,6988,32.5,2,177,40.8997955
Lampara,22.1,8860,30.8,2,193,1244.167963
Lampara,22.1,8860,30.8,2,193,311.0419907
Lampara,22.1,8860,30.8,2,193,466.562986
Lampara,21.5,10138,36.8,3,207,621.761658
Lampara,21.5,10138,36.8,3,207,931.6770186
Lampara,21.5,10138,36.8,3,207,207.253886
Lampara,20.9,5123,109.3,4,221,1242.236025
Lampara,20.9,5123,109.3,4,221,1708.074534
Lampara,20.9,5123,109.3,4,221,931.6770186
Lampara,18.8,7113,29.2,4,235,310.5590062
Lampara,18.8,7113,29.2,4,235,465.8385093
Lampara,18.8,7113,29.2,4,235,103.626943
Townet,20.9,5604,58.9,2,165,86.20077523
Townet,20.9,5604,58.9,2,165,109.1543689
Townet,20.9,5604,58.9,2,165,91.10631866
Townet,21.2,7862,64.2,2,177,167.8996926
Townet,21.2,7862,64.2,2,177,215.9442398
Townet,21.2,7862,64.2,2,177,157.9951534
Townet,21.8,9161,44.5,2,193,959.9232613
Townet,21.8,9161,44.5,2,193,1138.554125
Townet,21.8,9161,44.5,2,193,1518.713296
Townet,21.9,9819,31.1,2,207,281.0731397
Townet,21.9,9819,31.1,2,207,503.1128042
Townet,21.9,9819,31.1,2,207,275.6447795
Townet,20.9,4879,22.5,2,221,22.41576054
Townet,20.9,4879,22.5,2,221,56.06959634
Townet,20.9,4879,22.5,2,221,34.61471878
Townet,20,7627,26.5,2,235,11.32939557
Townet,20,7627,26.5,2,235,0
Townet,20,7627,26.5,2,235,11.26348243
