site,sitetype,targets2,Region2,mCPUE,sdCPUE,seCPUE,N
Blacklock,tidal,mysids,NurseDenverton,9.663602428,13.21469407,2.642938813,5
Blacklock,tidal,neuston,NurseDenverton,3.649470023,5.891927478,1.472981869,4
Blacklock,tidal,vegetation,NurseDenverton,65.75,52.20711957,13.05177989,4
Blacklock,tidal,benthic,NurseDenverton,0,0,0,0
Bradmoor,diked,benthic,NurseDenverton,0,0,0,4
Bradmoor,diked,mysids,NurseDenverton,433.1713357,NA,NA,1
Bradmoor,diked,neuston,NurseDenverton,6.621858573,NA,NA,1
Bradmoor,diked,vegetation,NurseDenverton,65.25,54.87843709,6.859804636,8
Broad,channel,benthic,Confluence,3300.795265,4203.037083,600.433869,7
Broad,channel,mysids,Confluence,1.250943258,1.718939535,0.114595969,15
Broad,channel,neuston,Confluence,3.220274995,4.621739665,0.330124262,14
Broad,channel,vegetation,Confluence,9.444444444,6.085045421,0.676116158,9
Browns,tidal,benthic,Confluence,14435.82558,18453.79547,3690.759095,5
Browns,tidal,mysids,Confluence,3.952431221,6.11556647,0.47042819,13
Browns,tidal,neuston,Confluence,1.21105144,0.525675035,0.04778864,11
Browns,tidal,vegetation,Confluence,562.8125,538.6380626,33.66487891,16
Decker,muted,benthic,SacSanJ,246.6091245,333.9103331,83.47758328,4
Decker,muted,mysids,SacSanJ,275.043,572.023,63.558,9
Decker,muted,neuston,SacSanJ,2.15,2.74,3.92,7
Decker,muted,vegetation,SacSanJ,199.2857143,201.5033608,14.3930972,14
Flyway,diked,benthic,Cache,246.6091245,NA,NA,1
Flyway,diked,vegetation,Cache,140,161.1645122,40.29112806,4
Flyway,diked,mysids,Cache,0,0,0,0
Flyway,diked,neuston,Cache,0,0,0,0
Grizzly,channel,benthic,Grizzly,894.6608947,884.3609493,294.7869831,3
Grizzly,channel,mysids,Grizzly,4.835339323,7.858222196,0.491138887,16
Grizzly,channel,neuston,Grizzly,0.6340502,0.711440914,0.071144091,10
Grizzly,channel,vegetation,Grizzly,8.5,6.363961031,3.181980515,2
Horseshoe,channel,benthic,SacSanJ,5507.016617,4679.872265,584.9840331,8
Horseshoe,channel,mysids,SacSanJ,74.30494883,247.4724622,20.62270518,12
Horseshoe,channel,neuston,SacSanJ,3.71488504,7.852701731,0.785270173,10
Horseshoe,channel,vegetation,SacSanJ,267.5625,297.3146411,18.58216507,16
LHB,channel,benthic,NurseDenverton,259.7402597,NA,NA,1
LHB,channel,mysids,NurseDenverton,3.003713175,3.93999474,0.393999474,10
LHB,channel,neuston,NurseDenverton,0.649898669,0.497948648,0.082991441,6
LHB,channel,vegetation,NurseDenverton,12,7.293833012,1.215638835,6
Liberty,tidal,mysids,Cache,5.929840886,9.106569236,1.011841026,9
Liberty,tidal,neuston,Cache,5.020050963,3.577760254,0.596293376,6
Liberty,tidal,vegetation,Cache,53.14285714,50.81150976,7.258787108,7
Liberty,tidal,benthic,Cache,0,0,0,0
Lindsey,tidal,benthic,Cache,2466.091245,NA,NA,1
Lindsey,tidal,mysids,Cache,51.50774895,98.24859322,14.03551332,7
Lindsey,tidal,neuston,Cache,0.274765916,0.171591259,0.057197086,3
Lindsey,tidal,vegetation,Cache,548.8,377.7581237,75.55162473,5
Miner,channel,mysids,Cache,4.659068683,4.308196087,0.538524511,8
Miner,channel,neuston,Cache,10.76875288,17.29773851,4.324434628,4
Miner,channel,vegetation,Cache,965.8333333,2254.618231,375.7697051,6
Miner,channel,benthic,Cache,0,0,0,0
Prospect,muted,benthic,Cache,123.3045623,NA,NA,1
Prospect,muted,mysids,Cache,13.18313464,17.62018223,1.601834749,11
Prospect,muted,neuston,Cache,0.116775514,0.072566297,0.012094383,6
Prospect,muted,vegetation,Cache,319.125,423.9738828,17.66557845,24
Ryer,tidal,benthic,Grizzly,714.2857143,174.954627,43.73865676,4
Ryer,tidal,mysids,Grizzly,87.64764936,219.3301401,27.41626751,8
Ryer,tidal,neuston,Grizzly,10.11551535,8.298594292,1.037324286,8
Ryer,tidal,vegetation,Grizzly,240.8125,359.6365237,22.47728273,16
Stacys,tidal,benthic,SacSanJ,20406.90506,3574.769177,1787.384589,2
Stacys,tidal,mysids,SacSanJ,13.01403496,20.28971916,2.536214895,8
Stacys,tidal,neuston,SacSanJ,0.482919332,0.522804629,0.104560926,5
Stacys,tidal,vegetation,SacSanJ,248.8333333,400.4068007,33.36723339,12
Tule Red,diked,benthic,Grizzly,70494.97974,94711.6492,13530.2356,7
Tule Red,diked,neuston,Grizzly,1.033806759,0.600765795,0.150191449,4
Tule Red,diked,vegetation,Grizzly,1311.5,2020.289688,144.3064063,14
Tule Red,diked,mysids,Grizzly,0,0,0,0
Winter,muted,benthic,Confluence,7239.739299,9607.399624,1372.485661,7
Winter,muted,mysids,Confluence,97.34301383,263.3949359,32.92436698,8
Winter,muted,neuston,Confluence,19.47109477,22.81232997,2.851541247,8
Winter,muted,vegetation,Confluence,201,313.3029114,20.88686076,15
