,Station,Region,Region2,count,site,sitetype
8,720 FRP,Lindsey Slough,Cache,35,Lindsey,tidal
9,723 FRP,Liberty Island,Cache,39,Liberty,tidal
10,724 FRP,Miner Slough,Cache,133,Miner,channel
11,726 FRP,Miner Slough,Cache,77,Miner,channel
26,Flyway,Flyway Farms,Cache,31,Flyway,diked
28,LinBR,Lindsey Slough,Cache,159,Lindsey,tidal
29,Lindsey tules,Lindsey Slough,Cache,15,Lindsey,tidal
30,Miner Tules,Miner Slough,Cache,24,Miner,channel
31,NELiberty,Liberty Island,Cache,67,Liberty,tidal
32,NWLiberty,Liberty Island,Cache,48,Liberty,tidal
33,ProBr,Miner Slough,Cache,147,Prospect,muted
38,SoPro1,Prospect Island,Cache,65,Prospect,muted
39,SoPro2,Prospect Island,Cache,67,Prospect,muted
40,SoPro3,Prospect Island,Cache,17,Prospect,muted
41,SoPro4,Prospect Island,Cache,51,Prospect,muted
42,SoPro5,Prospect Island,Cache,25,Prospect,muted
43,SoPro6,Prospect Island,Cache,21,Prospect,muted
44,SoPro7,Prospect Island,Cache,30,Prospect,muted
46,SWLiberty,Liberty Island,Cache,98,Liberty,tidal
2,520 FRP,Browns Island,Confluence,7,Honker,channel
5,703 FRP,Confluence,Confluence,40,Sherman,channel
12,801 FRP,Confluence,Confluence,412,Broad,channel
15,Browns Channel,Browns Island,Confluence,444,Browns,tidal
16,Browns1,Browns Island,Confluence,24,Browns,tidal
17,BrownsPond,Browns Island,Confluence,36,Browns,tidal
20,Dow 2,Dow Wetlands,Confluence,77,Dow,muted
21,Dow 3,Dow Wetlands,Confluence,74,Dow,muted
22,Dow 4,Dow Wetlands,Confluence,88,Dow,muted
23,Dow 5,Dow Wetlands,Confluence,69,Dow,muted
24,Dow Breach,Dow Wetlands,Confluence,78,Dow,muted
25,Dow Outside,Confluence,Confluence,10,Broad,channel
54,WinBR,Winter Island,Confluence,42,Winter,muted
55,Winter 1,Winter Island,Confluence,270,Winter,muted
56,Winter 2,Winter Island,Confluence,60,Winter,muted
57,Winter 3,Winter Island,Confluence,94,Winter,muted
58,Winter 4,Winter Island,Confluence,17,Winter,muted
59,Winter 5,Winter Island,Confluence,87,Winter,muted
1,501 FRP,Ryer Island,Grizzly,42,Grizzly,channel
3,602FRP,Grizzly Bay,Grizzly,202,Grizzly,channel
34,Ryer1,Suisun,Grizzly,192,Ryer,tidal
35,Ryer2,Suisun,Grizzly,47,Ryer,tidal
36,Ryer3,Suisun,Grizzly,144,Ryer,tidal
37,Ryer4,Suisun,Grizzly,29,Ryer,tidal
47,TR1,Tule Red,Grizzly,37,Tule Red,diked
48,TR2,Tule Red,Grizzly,46,Tule Red,diked
49,TR3,Tule Red,Grizzly,34,Tule Red,diked
50,TR4,Tule Red,Grizzly,15,Tule Red,diked
51,TR5,Tule Red,Grizzly,19,Tule Red,diked
52,TR6,Tule Red,Grizzly,23,Tule Red,diked
53,TR7,Tule Red,Grizzly,40,Tule Red,diked
4,609 FRP,Nurse-Denverton,NurseDenverton,177,LHB,channel
13,Blacklock,Nurse-Denverton,NurseDenverton,142,Blacklock,tidal
14,Bradmoor,Bradmoor Island,NurseDenverton,121,Bradmoor,diked
6,705 FRP,Horseshoe Bend,SacSanJ,268,Horseshoe,channel
7,706 FRP,Horseshoe Bend,SacSanJ,78,Horseshoe,channel
18,Decker Breach,Decker Island,SacSanJ,889,Decker,muted
19,Decker Inside,Decker Island,SacSanJ,6,Decker,muted
27,Horsebend1,Horseshoe Bend,SacSanJ,282,Horseshoe,channel
45,Stacy's Island,San Joaquin,SacSanJ,293,Stacys,tidal
